"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","1","399","2208184221696","131854336","98680832","23792","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","13.90625","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"7208","Microsoft.Win32.SafeHandles.SafeProcessHandle","399","9772",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23792","23792","98680832","98680832","869288","869288","135827456","135827456","166805504","166805504","601964544","2221100056576","True","Idle","98680832","98680832","00:00:00.7500000","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 1:57:07 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:13.9062500","00:00:13.1562500","571031552","2208184221696","False",,,,"131854336","131854336",,
"chrome","1","240","2208041598976","43864064","27181056","16720","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.078125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"7260","Microsoft.Win32.SafeHandles.SafeProcessHandle","240","13896",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16720","16720","27181056","27181056","742312","742312","61972480","61972480","85098496","85098496","325349376","2212233506816","True","Idle","27181056","27181056","00:00:00.2187500","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 1:17:21 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0781250","00:00:00.8593750","428408832","2208041598976","False",,,,"43864064","43864064",,
"chrome","1","234","2208030867456","8540160","18796544","15632","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","5.015625","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","8",,"False",,"4748","Microsoft.Win32.SafeHandles.SafeProcessHandle","234","14488",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15632","15632","18796544","18796544","467400","467400","20905984","20905984","37048320","37048320","315912192","2212224069632","True","Normal","18796544","18796544","00:00:01.4218750","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:25:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.0156250","00:00:03.5937500","417677312","2208030867456","False",,,,"8540160","8540160",,
"chrome","1","332","2208108560384","85413888","50618368","21208","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","1.65625","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"7516","Microsoft.Win32.SafeHandles.SafeProcessHandle","332","14632",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21208","21208","50618368","50618368","833672","833672","65761280","65761280","101752832","101752832","324300800","2212232458240","True","Idle","50618368","50618368","00:00:00.3125000","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 2:14:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.6562500","00:00:01.3437500","495370240","2208108560384","False",,,,"85413888","85413888",,
"chrome","1","462","2208253575168","156049408","161087488","30048","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","11.953125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"5888","Microsoft.Win32.SafeHandles.SafeProcessHandle","462","15180",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30048","30048","161087488","161087488","915800","915800","186826752","186826752","242958336","242958336","325349376","2212233506816","True","Idle","161087488","161087488","00:00:00.8906250","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 1:39:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:11.9531250","00:00:11.0625000","640385024","2208253575168","False",,,,"156049408","156049408",,
"chrome","1","263","2208047505408","8491008","20697088","17128","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","5.703125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","8",,"False",,"5880","Microsoft.Win32.SafeHandles.SafeProcessHandle","263","15476",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17128","17128","20697088","20697088","483512","483512","22323200","22323200","45391872","45391872","315912192","2212224069632","True","Normal","20697088","20697088","00:00:01.3593750","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:25:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.7031250","00:00:04.3437500","434315264","2208047505408","False",,,,"8491008","8491008",,
"chrome","1","339","2208097230848","59342848","53374976","21752","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","2.828125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"7764","Microsoft.Win32.SafeHandles.SafeProcessHandle","339","15804",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21752","21752","53374976","53374976","779800","779800","70742016","70742016","115138560","115138560","324300800","2212232458240","True","Idle","53374976","53374976","00:00:00.2968750","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 12:24:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.8281250","00:00:02.5312500","484040704","2208097230848","False",,,,"59342848","59342848",,
"chrome","1","243","2218827329536","49233920","64884736","18624","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","283.84375","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","8",,"False",,"6180","Microsoft.Win32.SafeHandles.SafeProcessHandle","243","17916",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18624","18624","64884736","64884736","475736","475736","89915392","89915392","82059264","82059264","-1567539200","2218930552832","True","Normal","64884736","64884736","00:00:28.3906250","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:25:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:43.8437500","00:04:15.4531250","-1670762496","2218827329536","False",,,,"49233920","49233920",,
"chrome","1","298","2208134922240","99131392","69496832","23248","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","99.21875","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","4",,"False",,"8056","Microsoft.Win32.SafeHandles.SafeProcessHandle","298","18320",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23248","23248","69496832","69496832","775976","775976","92385280","92385280","138407936","138407936","342138880","2212250296320","True","Idle","69496832","69496832","00:00:15.1562500","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","11/1/2020 1:37:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:39.2187500","00:01:24.0625000","521732096","2208134922240","False",,,,"99131392","99131392",,
"chrome","1","278","2203664039936","9547776","8708096","17536","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","318.78125","86.0.4240.111","86.0.4240.111","Google Chrome","Google Chrome","Process","8",,"False",,"1500","Microsoft.Win32.SafeHandles.SafeProcessHandle","278","18856",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17536","17536","8708096","8708096","510344","510344","9007104","9007104","16125952","16125952","404770816","2203722993664","True","Normal","8708096","8708096","00:02:36.7500000","chrome","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:25:39 PM",,"System.Diagnostics.ProcessThreadCollection","00:05:18.7812500","00:02:42.0312500","345817088","2203664039936","False",,,,"9547776","9547776",,
